DATE,SITE,TREATMENT,SIZE,SCIENTIFIC_NAME,COMMON_NAME
10/10/08,NAPL,CONTROL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,3.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,4,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,4,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,4,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,4,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,4,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,4.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,4.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,4.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,4.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,4.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,4.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,CONTROL,5.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,2.5,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,3,Strongylocentrotus purpuratus,Purple Urchin
10/10/08,NAPL,ANNUAL,3,Strongylocentrotus purpuratus,Purple Urchin
